"node_id","longitude","latitude"
460,114,32.3
461,114,32.3
462,139,37.5
463,139,37.5
464,129.5,63
465,129.5,63
466,81,44
467,81,44
468,105,12
469,105,12
470,103,28
471,103,28
472,119,48.5
473,119,48.5
474,129.5,63
475,129.5,63
476,109,28
477,109,28
478,74,36.5
479,74,36.5
480,74,36.5
481,74,36.5
482,129.5,63
483,129.5,63
484,133.5,47.5
485,133.5,47.5
486,105,12
487,105,12
488,129.5,63
489,129.5,63
490,139,37.5
491,139,37.5
492,119,48.5
493,119,48.5
494,109,29
495,109,29
496,126.5,50.4
497,126.5,50.4
498,70,33.5
499,70,33.5
500,81,44
501,81,44
502,126.5,50.4
503,126.5,50.4
504,139,37.5
505,139,37.5
506,70,33.5
507,70,33.5
508,74,36.5
509,74,36.5
510,139,37.5
511,139,37.5
512,139,37.5
513,139,37.5
514,139,37.5
515,139,37.5
516,119,48.5
517,119,48.5
518,133.5,47.5
519,133.5,47.5
520,139,37.5
521,139,37.5
522,139,37.5
523,139,37.5
524,139,37.5
525,139,37.5
526,70,33.5
527,70,33.5
528,70,33.5
529,70,33.5
530,139,37.5
531,139,37.5
532,70,33.5
533,70,33.5
534,129.5,63
535,129.5,63
536,74,36.5
537,74,36.5
538,74,36.5
539,74,36.5
540,124,48.5
541,124,48.5
542,129.5,63
543,129.5,63
544,126.5,50.4
545,126.5,50.4
546,129.5,63
547,129.5,63
548,105,12
549,105,12
550,70,33.5
551,70,33.5
552,81.5,43.5
553,81.5,43.5
554,124,48.5
555,124,48.5
556,81.5,43.5
557,81.5,43.5
558,129.5,63
559,129.5,63
560,129.5,63
561,129.5,63
562,139,37.5
563,139,37.5
564,129.5,63
565,129.5,63
566,129.5,63
567,129.5,63
568,124,48.5
569,124,48.5
570,126.5,50.4
571,126.5,50.4
572,139,37.5
573,139,37.5
574,126.5,50.4
575,126.5,50.4
576,74,36.5
577,74,36.5
578,74,36.5
579,74,36.5
580,133.5,47.5
581,133.5,47.5
582,139,37.5
583,139,37.5
584,129.5,63
585,129.5,63
586,139,37.5
587,139,37.5
588,139,37.5
589,139,37.5
590,129.5,63
591,129.5,63
592,105,12
593,105,12
594,66.5,30.5
595,66.5,30.5
596,119,48.5
597,119,48.5
598,129.5,63
599,129.5,63
600,66.5,30.5
601,66.5,30.5
602,139,37.5
603,139,37.5
604,81,44
605,81,44
606,66.5,30.5
607,66.5,30.5
608,66.5,30.5
609,66.5,30.5
610,139,37.5
611,139,37.5
612,70.5,33.5
613,70.5,33.5
614,119,48.5
615,119,48.5
616,133.5,47.5
617,133.5,47.5
618,70,33.5
619,70,33.5
620,69,25.5
621,69,25.5
622,129.5,63
623,129.5,63
624,70,33.5
625,70,33.5
626,71.5,36
627,71.5,36
628,66.5,30.5
629,66.5,30.5
630,66.5,30.5
631,66.5,30.5
632,66.5,30.5
633,66.5,30.5
634,74,36.5
635,74,36.5
636,69,25.5
637,69,25.5
638,71.5,36
639,71.5,36
640,66.5,30.5
641,66.5,30.5
642,70.5,33.5
643,70.5,33.5
644,66.5,30.5
645,66.5,30.5
646,71.5,36
647,71.5,36
648,66.5,30.5
649,66.5,30.5
650,70.5,33.5
651,70.5,33.5
652,70.5,33.5
653,70.5,33.5
654,71.5,36
655,71.5,36
656,66.5,30.5
657,66.5,30.5
658,66.5,30.5
659,66.5,30.5
660,69,25.5
661,69,25.5
662,70.5,33.5
663,70.5,33.5
664,3.81666561775622e-14,43
665,3.81666561775622e-14,43
666,74,36.5
667,74,36.5
668,74,36.5
669,74,36.5
670,69,25.5
671,69,25.5
672,70.5,33.5
673,70.5,33.5
674,66.5,30.5
675,66.5,30.5
676,66.5,30.5
677,66.5,30.5
678,69,25.5
679,69,25.5
680,66.5,30.5
681,66.5,30.5
682,70.5,33.5
683,70.5,33.5
684,71.5,36
685,71.5,36
686,66.5,30.5
687,66.5,30.5
688,66.5,30.5
689,66.5,30.5
690,69,25.5
691,69,25.5
692,66.5,30.5
693,66.5,30.5
694,69,25.5
695,69,25.5
696,70.5,33.5
697,70.5,33.5
698,71.5,36
699,71.5,36
700,74,36.5
701,74,36.5
702,66.5,30.5
703,66.5,30.5
704,3.81666561775622e-14,43
705,3.81666561775622e-14,43
706,70.5,33.5
707,70.5,33.5
708,70.5,33.5
709,70.5,33.5
710,71.5,36
711,71.5,36
712,71.5,36
713,71.5,36
714,66.5,30.5
715,66.5,30.5
716,3.81666561775622e-14,43
717,3.81666561775622e-14,43
718,74,36.5
719,74,36.5
720,66.5,30.5
721,66.5,30.5
722,64,26
723,64,26
724,1.99999999999999,46
725,1.99999999999999,46
726,1.99999999999999,46
727,1.99999999999999,46
728,69,25.5
729,69,25.5
730,69,25.5
731,69,25.5
732,74,36.5
733,74,36.5
734,69,25.5
735,69,25.5
736,66.5,30.5
737,66.5,30.5
738,66.5,30.5
739,66.5,30.5
740,66.5,30.5
741,66.5,30.5
742,64,26
743,64,26
744,39.9999999999999,61.0000000000001
