"sample_id","sample_region"
"HGDP00961_ERS474370","AS"
"HGDP00961_ERS474370","AS"
"HGDP00769_ERS474347","AS"
"HGDP00769_ERS474347","AS"
"HGDP00757_ERS474335","AS"
"HGDP00757_ERS474335","AS"
"HGDP00952_ERS474361","AS"
"HGDP00952_ERS474361","AS"
"HGDP00721_ERS474324","AS"
"HGDP00721_ERS474324","AS"
"HGDP00021_ERS474517","AS"
"HGDP00021_ERS474517","AS"
"HGDP01231_ERS474294","AS"
"HGDP01231_ERS474294","AS"
"HGDP00969_ERS474378","AS"
"HGDP00969_ERS474378","AS"
"HGDP00039_ERS474526","AS"
"HGDP00039_ERS474526","AS"
"HGDP00764_ERS474342","AS"
"HGDP00764_ERS474342","AS"
"HGDP01305_ERS474387","AS"
"HGDP01305_ERS474387","AS"
"HGDP00060_ERS474537","AS"
"HGDP00060_ERS474537","AS"
"HGDP00035_ERS474524","AS"
"HGDP00035_ERS474524","AS"
"HGDP00791_ERS474352","AS"
"HGDP00791_ERS474352","AS"
"HGDP00234_ERS474446","AS"
"HGDP00234_ERS474446","AS"
"HGDP01227_ERS474290","AS"
"HGDP01227_ERS474290","AS"
"HGDP01236_ERS474279","AS"
"HGDP01236_ERS474279","AS"
"HGDP00110_ERS474398","AS"
"HGDP00110_ERS474398","AS"
"HGDP00173_ERS474465","AS"
"HGDP00173_ERS474465","AS"
"HGDP00955_ERS474364","AS"
"HGDP00955_ERS474364","AS"
"HGDP00106_ERS474395","AS"
"HGDP00106_ERS474395","AS"
"HGDP00285_ERS474489","AS"
"HGDP00285_ERS474489","AS"
"HGDP00047_ERS474530","AS"
"HGDP00047_ERS474530","AS"
"HGDP00049_ERS474531","AS"
"HGDP00049_ERS474531","AS"
"HGDP00031_ERS474522","AS"
"HGDP00031_ERS474522","AS"
"HGDP00438_ERS474433","AS"
"HGDP00438_ERS474433","AS"
"HGDP00199_ERS474478","AS"
"HGDP00199_ERS474478","AS"
"HGDP00313_ERS474499","AS"
"HGDP00313_ERS474499","AS"
"HGDP00066_ERS474540","AS"
"HGDP00066_ERS474540","AS"
"HGDP00239_ERS474448","AS"
"HGDP00239_ERS474448","AS"
"HGDP00013_ERS474513","AS"
"HGDP00013_ERS474513","AS"
"HGDP00323_ERS474502","AS"
"HGDP00323_ERS474502","AS"
"HGDP00070_ERS474542","AS"
"HGDP00070_ERS474542","AS"
"HGDP00262_ERS474458","AS"
"HGDP00262_ERS474458","AS"
"HGDP00224_ERS474441","AS"
"HGDP00224_ERS474441","AS"
"HGDP00304_ERS474495","AS"
"HGDP00304_ERS474495","AS"
"HGDP00098_ERS474555","AS"
"HGDP00098_ERS474555","AS"
"HGDP00043_ERS474528","AS"
"HGDP00043_ERS474528","AS"
"HGDP00181_ERS474469","AS"
"HGDP00181_ERS474469","AS"
"HGDP00247_ERS474452","AS"
"HGDP00247_ERS474452","AS"
"HGDP01361_ERS474655","EU"
"HGDP01361_ERS474655","EU"
"HGDP00445_ERS474435","AS"
"HGDP00445_ERS474435","AS"
"HGDP00423_ERS474430","AS"
"HGDP00423_ERS474430","AS"
"HGDP00189_ERS474473","AS"
"HGDP00189_ERS474473","AS"
"HGDP00243_ERS474450","AS"
"HGDP00243_ERS474450","AS"
"HGDP00033_ERS474523","AS"
"HGDP00033_ERS474523","AS"
"HGDP00011_ERS474512","AS"
"HGDP00011_ERS474512","AS"
"HGDP00210_ERS474483","AS"
"HGDP00210_ERS474483","AS"
"HGDP00082_ERS474548","AS"
